Kinnistu number;Kinnistu liik;Katastritunnus;Sihtotstarve;Aadress;Pindala;ReaalosaNR
53233;Kinnisasi;63901:001:0037;Transpordimaa 100%;Kärdla lennuväli, Hiiessaare küla, Hiiumaa vald, Hiiu maakond;541832 m2; *
53233;Kinnisasi;63901:001:1020;Transpordimaa 100%;Kärdla lennuväli, Partsi küla, Hiiumaa vald, Hiiu maakond;10272,0 m2; *
113402;Kinnisasi;65301:002:1435;Maatulundusmaa 70%, Transpordimaa 30%;Kasemetsa, Soodevahe küla, Rae vald, Harju maakond;6,32 ha; *
120901;Kinnisasi;78401:101:1012;Transpordimaa 90%, Ärimaa 5%, Tootmismaa 5%;Lennujaama tee 4 // 6 // 10 // Sepise tn 2 // 2a // 4 // Tartu mnt 101 // 103 // Valukoja tn 32 // Väike-Sõjamäe tn 1a // 2 // 12 // 12a // 18a // 22b, Lasnamäe linnaosa, Tallinn, Harju maakond;2144847,0 m2; *
214202;Kinnisasi;65301:002:0820;Transpordimaa 100%;Tallinna lennuväli, Soodevahe küla, Rae vald, Harju maakond;4,25 ha; *
224902;Kinnisasi;24504:003:0280;Transpordimaa 100%;Raadiomajaka, Saha küla, Jõelähtme vald, Harju maakond;2187 m2; *
253734;Kinnisasi;34901:001:0159;Riigikaitsemaa 100%;Roomassaare tee 1c, Kuressaare linn, Saaremaa vald, Saare maakond;19099 m2; *
253834;Kinnisasi;27003:001:0090;Transpordimaa 100%;Sikassaare raadiomajakas, Sikassaare küla, Saaremaa vald, Saare maakond;9822 m2; *
253934;Kinnisasi;27003:003:0010;Transpordimaa 100%;Raadiomajaka, Muratsi küla, Saaremaa vald, Saare maakond;3866 m2; *
672933;Kinnisasi;63901:001:0034;Transpordimaa 100%;Golfi, Hiiessaare küla, Hiiumaa vald, Hiiu maakond;4091,0 m2; *
672933;Kinnisasi;63901:001:0035;Sihtotstarbeta maa 100%;Golfi, Hiiessaare küla, Hiiumaa vald, Hiiu maakond;21146 m2; *
672933;Kinnisasi;63901:001:0036;Sihtotstarbeta maa 100%;Golfi, Hiiessaare küla, Hiiumaa vald, Hiiu maakond;148649 m2; *
692834;Kinnisasi;68901:001:0341;Transpordimaa 100%;Ruhnu lennuväli, Ruhnu küla, Ruhnu vald, Saare maakond;335752 m2; *
762101;Kinnisasi;78403:315:0890;Ärimaa 100%;Lennujaama tee 13, Lasnamäe linnaosa, Tallinn, Harju maakond;24441,0 m2; *
762201;Kinnisasi;78403:315:0900;Ärimaa 100%;Tartu mnt 97a, Lasnamäe linnaosa, Tallinn, Harju maakond;8856,0 m2; *
762401;Kinnisasi;78403:315:1230;Tootmismaa 100%;Tartu mnt 95b, Lasnamäe linnaosa, Tallinn, Harju maakond;100 m2; *
866333;Korteriomand;37101:005:0018;Elamumaa 100%;Nuutri tn 13, Kärdla linn, Hiiumaa vald, Hiiu maakond;1741 m2; 5
1336334;Korteriomand;34901:010:0016;Elamumaa 100%;Kotkapoja tn 10, Kuressaare linn, Saaremaa vald, Saare maakond;2156,0 m2; 6
1433901;Hoonestusõigus;78403:315:0900;Ärimaa 100%;Tartu mnt 97a, Lasnamäe linnaosa, Tallinn, Harju maakond;8856,0 m2; *
1513001;Hoonestusõigus;78406:606:0420;Transpordimaa 100%;Järvekalda tee 12, Haabersti linnaosa, Tallinn, Harju maakond;2799 m2; *
2236406;Kinnisasi;30301:001:0312;Transpordimaa 100%;Kihnu lennuväli, Sääre küla, Kihnu vald, Pärnu maakond;183145 m2; *
2236506;Kinnisasi;73001:001:0325;Transpordimaa 100%;Pärnu lennujaam, Eametsa küla, Tori vald, Pärnu maakond;81163 m2; *
2236506;Kinnisasi;80901:001:0983;Transpordimaa 100%;Pärnu lennujaam, Eametsa küla, Tori vald, Pärnu maakond;2180312 m2; *
2243806;Kinnisasi;14901:003:0044;Transpordimaa 100%;Kaugmajaka, Kurena küla, Tori vald, Pärnu maakond;15872 m2; *
2400104;Kinnisasi;94901:001:0143;Transpordimaa 100%;Lennuvälja plats L15, Ülenurme alevik, Kambja vald, Tartu maakond;4894 m2; *
2400104;Kinnisasi;94901:007:0067;Transpordimaa 100%;Lennuvälja plats L7, Reola küla, Kambja vald, Tartu maakond;66171 m2; *
2400104;Kinnisasi;94901:007:1713;Transpordimaa 100%;Lennu tn 44, Reola küla, Kambja vald, Tartu maakond;436166 m2; *
2400104;Kinnisasi;94901:007:1714;Maatulundusmaa 100%;Lepikolinnu, Reola küla, Kambja vald, Tartu maakond;2,21 ha; *
3328450;Kinnisasi;65301:002:0781;Transpordimaa 100%;Tallinna lennuväli, Soodevahe küla, Rae vald, Harju maakond;4,88 ha; *
3328450;Kinnisasi;65301:002:0782;Transpordimaa 100%;Tallinna lennuväli, Rae küla, Rae vald, Harju maakond;1768,0 m2; *
3329050;Kinnisasi;78401:101:1763;Ärimaa 100%;Väike-Sõjamäe tn 16, Lasnamäe linnaosa, Tallinn, Harju maakond;1275,0 m2; *
3554004;Kinnisasi;94901:007:1364;Maatulundusmaa 100%;Lennuvälja plats L12, Reola küla, Kambja vald, Tartu maakond;7345 m2; *
3612504;Kinnisasi;94901:007:1358;Maatulundusmaa 100%;Kopli-Lennuvälja, Reola küla, Kambja vald, Tartu maakond;54278 m2; *
3633250;Kinnisasi;34901:001:0158;Transpordimaa 100%;Roomassaare tee 1, Kuressaare linn, Saaremaa vald, Saare maakond;1287151 m2; *
3678604;Kinnisasi;94901:009:0203;Maatulundusmaa 100%;Suitsusoo-Lennuvälja, Reola küla, Kambja vald, Tartu maakond;13959 m2; *
3680804;Kinnisasi;94901:007:1361;Maatulundusmaa 100%;Lennuvälja plats L10, Reola küla, Kambja vald, Tartu maakond;12974 m2; *
3684004;Kinnisasi;94901:007:1368;Maatulundusmaa 100%;Lennuvälja plats L11, Reola küla, Kambja vald, Tartu maakond;15773 m2; *
3684004;Kinnisasi;94901:007:1452;Maatulundusmaa 100%;Lennuvälja plats L13, Reola küla, Kambja vald, Tartu maakond;9673 m2; *
3692604;Kinnisasi;94901:007:1448;Maatulundusmaa 100%;Lennuvälja plats L14, Reola küla, Kambja vald, Tartu maakond;1782 m2; *
3739704;Kinnisasi;94901:007:1526;Maatulundusmaa 100%;Lennuvälja plats L8, Reola küla, Kambja vald, Tartu maakond;15011 m2; *
3898601;Kinnisasi;78403:314:0190;Tootmismaa 100%;Suur-Sõjamäe tn 50, Lasnamäe linnaosa, Tallinn, Harju maakond;12577 m2; *
3898601;Kinnisasi;78403:314:1290;Tootmismaa 100%;Suur-Sõjamäe tn 48, Lasnamäe linnaosa, Tallinn, Harju maakond;13274 m2; *
4174404;Kinnisasi;94901:001:0133;Maatulundusmaa 100%;Vapra-Lennuvälja, Ülenurme alevik, Kambja vald, Tartu maakond;610,0 m2; *
4174404;Kinnisasi;94901:001:0134;Transpordimaa 100%;2 Tallinn-Tartu-Võru-Luhamaa tee T44, Ülenurme alevik, Kambja vald, Tartu maakond;109,0 m2; *
4834104;Kinnisasi;94901:007:1650;Transpordimaa 100%;Lennuvälja plats L2, Reola küla, Kambja vald, Tartu maakond;69538 m2; *
4834904;Kinnisasi;94901:007:1647;Transpordimaa 100%;Lennuvälja plats L4, Ülenurme alevik, Kambja vald, Tartu maakond;66036 m2; *
4835004;Kinnisasi;94901:009:0480;Maatulundusmaa 100%;Langi, Reola küla, Kambja vald, Tartu maakond;10343 m2; *
4835904;Kinnisasi;94901:007:1657;Transpordimaa 100%;Lennuvälja plats L5, Reola küla, Kambja vald, Tartu maakond;5202 m2; *
4836004;Kinnisasi;94901:007:1649;Maatulundusmaa 100%;Lennuveere, Reola küla, Kambja vald, Tartu maakond;2,47 ha; *
4836104;Kinnisasi;94901:007:1648;Transpordimaa 100%;Lennuvälja plats L3, Reola küla, Kambja vald, Tartu maakond;11212 m2; *
4836204;Kinnisasi;94901:007:1656;Transpordimaa 100%;Lennuvälja plats L9, Reola küla, Kambja vald, Tartu maakond;10410 m2; *
4836504;Kinnisasi;94901:008:0174;Transpordimaa 100%;Lennuvälja plats L1, Laane küla, Kambja vald, Tartu maakond;3753 m2; *
4839104;Kinnisasi;52801:007:0131;Transpordimaa 100%;Nõo tn 40, Nõgiaru küla, Nõo vald, Tartu maakond;6161 m2; *
